age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,y,previously_contacted,season_quarter,has_housing,has_personal,debt_score,age_group,is_high_value,month
58,Management,Married,Tertiary,No,2143.0,Yes,No,Unknown,5,261,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
44,Technician,Single,Secondary,No,29.0,Yes,No,Unknown,5,151,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
33,Entrepreneur,Married,Secondary,No,2.0,Yes,Yes,Unknown,5,76,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
47,Blue-collar,Married,Secondary,No,1506.0,Yes,No,Unknown,5,92,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
33,Blue-collar,Single,Secondary,No,1.0,No,No,Unknown,5,198,1.0,-1,0,No,0,Q2,0,0,0,Middle Aged,0,May
35,Management,Married,Tertiary,No,231.0,Yes,No,Unknown,5,139,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
28,Management,Single,Tertiary,No,447.0,Yes,Yes,Unknown,5,217,1.0,-1,0,No,0,Q2,1,1,2,Young Adult,0,May
42,Entrepreneur,Divorced,Tertiary,Yes,2.0,Yes,No,Unknown,5,380,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
58,Retired,Married,Primary,No,121.0,Yes,No,Unknown,5,50,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
43,Technician,Single,Secondary,No,593.0,Yes,No,Unknown,5,55,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
41,Admin.,Divorced,Secondary,No,270.0,Yes,No,Unknown,5,222,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
29,Admin.,Single,Secondary,No,390.0,Yes,No,Unknown,5,137,1.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
53,Technician,Married,Secondary,No,6.0,Yes,No,Unknown,5,517,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
58,Technician,Married,Secondary,No,71.0,Yes,No,Unknown,5,71,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
57,Services,Married,Secondary,No,162.0,Yes,No,Unknown,5,174,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
51,Retired,Married,Primary,No,229.0,Yes,No,Unknown,5,353,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
45,Admin.,Single,Secondary,No,13.0,Yes,No,Unknown,5,98,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
57,Blue-collar,Married,Primary,No,52.0,Yes,No,Unknown,5,38,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
60,Retired,Married,Primary,No,60.0,Yes,No,Unknown,5,219,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
33,Services,Married,Secondary,No,0.0,Yes,No,Unknown,5,54,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
28,Blue-collar,Married,Secondary,No,723.0,Yes,Yes,Unknown,5,262,1.0,-1,0,No,0,Q2,1,1,2,Young Adult,1,May
56,Management,Married,Tertiary,No,779.0,Yes,No,Unknown,5,164,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
32,Blue-collar,Single,Primary,No,23.0,Yes,Yes,Unknown,5,160,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
25,Services,Married,Secondary,No,50.0,Yes,No,Unknown,5,342,1.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
40,Retired,Married,Primary,No,0.0,Yes,Yes,Unknown,5,181,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
44,Admin.,Married,Secondary,No,-372.0,Yes,No,Unknown,5,172,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
39,Management,Single,Tertiary,No,255.0,Yes,No,Unknown,5,296,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
52,Entrepreneur,Married,Secondary,No,113.0,Yes,Yes,Unknown,5,127,1.0,-1,0,No,0,Q2,1,1,2,Senior,0,May
46,Management,Single,Secondary,No,-246.0,Yes,No,Unknown,5,255,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
36,Technician,Single,Secondary,No,265.0,Yes,Yes,Unknown,5,348,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
57,Technician,Married,Secondary,No,839.0,No,Yes,Unknown,5,225,1.0,-1,0,No,0,Q2,0,1,1,Senior,1,May
49,Management,Married,Tertiary,No,378.0,Yes,No,Unknown,5,230,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
60,Admin.,Married,Secondary,No,39.0,Yes,Yes,Unknown,5,208,1.0,-1,0,No,0,Q2,1,1,2,Senior,0,May
59,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,226,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
51,Management,Married,Tertiary,No,3462.0,Yes,No,Unknown,5,336,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
