age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y,previously_contacted
58,Management,Married,Tertiary,No,2143.0,Yes,No,Unknown,5,May,261,1.0,-1,0,No,0
44,Technician,Single,Secondary,No,29.0,Yes,No,Unknown,5,May,151,1.0,-1,0,No,0
33,Entrepreneur,Married,Secondary,No,2.0,Yes,Yes,Unknown,5,May,76,1.0,-1,0,No,0
47,Blue-collar,Married,Secondary,No,1506.0,Yes,No,Unknown,5,May,92,1.0,-1,0,No,0
33,Blue-collar,Single,Secondary,No,1.0,No,No,Unknown,5,May,198,1.0,-1,0,No,0
35,Management,Married,Tertiary,No,231.0,Yes,No,Unknown,5,May,139,1.0,-1,0,No,0
28,Management,Single,Tertiary,No,447.0,Yes,Yes,Unknown,5,May,217,1.0,-1,0,No,0
42,Entrepreneur,Divorced,Tertiary,Yes,2.0,Yes,No,Unknown,5,May,380,1.0,-1,0,No,0
58,Retired,Married,Primary,No,121.0,Yes,No,Unknown,5,May,50,1.0,-1,0,No,0
43,Technician,Single,Secondary,No,593.0,Yes,No,Unknown,5,May,55,1.0,-1,0,No,0
41,Admin.,Divorced,Secondary,No,270.0,Yes,No,Unknown,5,May,222,1.0,-1,0,No,0
29,Admin.,Single,Secondary,No,390.0,Yes,No,Unknown,5,May,137,1.0,-1,0,No,0
53,Technician,Married,Secondary,No,6.0,Yes,No,Unknown,5,May,517,1.0,-1,0,No,0
58,Technician,Married,Secondary,No,71.0,Yes,No,Unknown,5,May,71,1.0,-1,0,No,0
57,Services,Married,Secondary,No,162.0,Yes,No,Unknown,5,May,174,1.0,-1,0,No,0
51,Retired,Married,Primary,No,229.0,Yes,No,Unknown,5,May,353,1.0,-1,0,No,0
45,Admin.,Single,Secondary,No,13.0,Yes,No,Unknown,5,May,98,1.0,-1,0,No,0
57,Blue-collar,Married,Primary,No,52.0,Yes,No,Unknown,5,May,38,1.0,-1,0,No,0
60,Retired,Married,Primary,No,60.0,Yes,No,Unknown,5,May,219,1.0,-1,0,No,0
33,Services,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,54,1.0,-1,0,No,0
28,Blue-collar,Married,Secondary,No,723.0,Yes,Yes,Unknown,5,May,262,1.0,-1,0,No,0
56,Management,Married,Tertiary,No,779.0,Yes,No,Unknown,5,May,164,1.0,-1,0,No,0
32,Blue-collar,Single,Primary,No,23.0,Yes,Yes,Unknown,5,May,160,1.0,-1,0,No,0
25,Services,Married,Secondary,No,50.0,Yes,No,Unknown,5,May,342,1.0,-1,0,No,0
40,Retired,Married,Primary,No,0.0,Yes,Yes,Unknown,5,May,181,1.0,-1,0,No,0
44,Admin.,Married,Secondary,No,-372.0,Yes,No,Unknown,5,May,172,1.0,-1,0,No,0
39,Management,Single,Tertiary,No,255.0,Yes,No,Unknown,5,May,296,1.0,-1,0,No,0
52,Entrepreneur,Married,Secondary,No,113.0,Yes,Yes,Unknown,5,May,127,1.0,-1,0,No,0
